B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
B,70,14,46,55,27,23,72,46,63,20,72,14,10,45,48
B,1,9,20,2,20,60,54,3,34,34,2,2,54,37,49
B,3,71,37,32,51,30,25,2,5,65,74,35,72,5,32
B,16,36,24,44,71,44,14,74,7,12,46,40,62,30,13
B,1,45,55,52,46,19,55,38,64,24,66,21,47,1,73
B,45,13,52,73,20,24,31,39,70,27,48,1,55,74,41
B,52,39,66,72,51,64,36,54,16,69,51,73,40,58,46
B,46,63,18,8,60,49,44,19,45,12,32,56,30,46,26
B,43,62,49,62,31,48,54,67,14,43,73,35,41,69,20
B,9,0,37,46,0,62,22,39,56,66,28,0,29,52,51
B,34,45,8,30,58,52,66,15,45,60,18,30,43,37,9
